algoritm,time,win,points
1,36.082560300827026,1,10 
1,174.83202838897705,0,9 
1,35.916889905929565,1,10 
1,69.1357204914093,0,9 
1,42.02574682235718,0,9 
1,37.94180226325989,0,9 
1,42.65529942512512,0,9 
1,41.98787713050842,0,9 
1,35.67062473297119,1,10 
1,120.38778257369995,0,9 
1,39.87587094306946,0,9 
1.000000, 35.497923851013184, 1.000000, 10 
1.000000, 41.49807381629944, 1.000000, 10 
1.000000, 43.73265218734741, 0.000000, 9 
