algoritm,time,win,points
1.0,36.08256030082703,1.0,10
1.0,174.83202838897705,0.0,9
1.0,35.916889905929565,1.0,10
1.0,69.1357204914093,0.0,9
1.0,42.02574682235718,0.0,9
1.0,37.94180226325989,0.0,9
1.0,42.65529942512512,0.0,9
1.0,41.98787713050842,0.0,9
1.0,35.67062473297119,1.0,10
1.0,120.38778257369997,0.0,9
1.0,39.87587094306946,0.0,9
1.0,35.497923851013184,1.0,10
1.0,41.49807381629944,1.0,10
1.0,43.73265218734741,0.0,9
1.0,56.94577520234244,0.0,9
1.0,56.945775202342446,0.0,9
1.0,56.945775202342446,0.0,9
1.0,56.945775202342446,0.0,9
1.0,56.945775202342446,0.0,9
